       p  acos(c)[deg]     σ₁²     σ₂²     σ₃²     σ₄²     σ₅²     σ₆²
-1.0e+00         28.95  1.2344  0.9775  0.8712  1.2344  0.9775 -0.0000
-1.0e+00         29.19  1.2371  0.9760  0.8677  1.2371  0.9760 -0.0000
-1.0e+00         29.42  1.2398  0.9745  0.8641  1.2398  0.9745 -0.0000
-1.0e+00         29.65  1.2424  0.9729  0.8605  1.2424  0.9729 -0.0000
-1.0e+00         29.88  1.2451  0.9714  0.8568  1.2451  0.9714 -0.0000
-1.0e+00         30.11  1.2478  0.9699  0.8532  1.2478  0.9699 -0.0000
-1.0e+00         30.33  1.2505  0.9683  0.8496  1.2505  0.9683 -0.0000
-1.0e+00         30.56  1.2532  0.9668  0.8459  1.2532  0.9668 -0.0000
-1.0e+00         30.78  1.2559  0.9652  0.8422  1.2559  0.9652 -0.0000
-1.0e+00         31.00  1.2586  0.9637  0.8386  1.2586  0.9637 -0.0000
-1.0e+00         31.22  1.2613  0.9621  0.8349  1.2613  0.9621 -0.0000
-1.0e+00         31.44  1.2640  0.9606  0.8312  1.2640  0.9606 -0.0000
-1.0e+00         31.66  1.2667  0.9590  0.8274  1.2667  0.9590 -0.0000
-1.0e+00         31.87  1.2694  0.9575  0.8237  1.2694  0.9575 -0.0000
-1.0e+00         32.09  1.2721  0.9559  0.8199  1.2721  0.9559 -0.0000
-1.0e+00         32.30  1.2748  0.9543  0.8162  1.2748  0.9543 -0.0000
-1.0e+00         32.51  1.2774  0.9527  0.8124  1.2774  0.9527 -0.0000
-1.0e+00         32.72  1.2801  0.9512  0.8086  1.2801  0.9512 -0.0000
-1.0e+00         32.93  1.2828  0.9496  0.8048  1.2828  0.9496 -0.0000
-1.0e+00         33.14  1.2855  0.9480  0.8010  1.2855  0.9480 -0.0000
-1.0e+00         33.35  1.2882  0.9464  0.7972  1.2882  0.9464 -0.0000
-1.0e+00         33.56  1.2909  0.9448  0.7933  1.2909  0.9448 -0.0000
-1.0e+00         33.76  1.2936  0.9432  0.7895  1.2936  0.9432 -0.0000
-1.0e+00         33.97  1.2963  0.9416  0.7856  1.2963  0.9416 -0.0000
-1.0e+00         34.17  1.2990  0.9400  0.7817  1.2990  0.9400 -0.0000
-1.0e+00         34.37  1.3017  0.9384  0.7778  1.3017  0.9384 -0.0000
-1.0e+00         34.57  1.3044  0.9368  0.7739  1.3044  0.9368 -0.0000
-1.0e+00         34.77  1.3071  0.9352  0.7700  1.3071  0.9352 -0.0000
-1.0e+00         34.97  1.3098  0.9336  0.7661  1.3098  0.9336 -0.0000
-1.0e+00         35.17  1.3124  0.9319  0.7621  1.3124  0.9319 -0.0000
-1.0e+00         35.36  1.3151  0.9303  0.7582  1.3151  0.9303 -0.0000
-1.0e+00         35.56  1.3178  0.9287  0.7542  1.3178  0.9287 -0.0000
-1.0e+00         35.75  1.3205  0.9271  0.7502  1.3205  0.9271 -0.0000
-1.0e+00         35.95  1.3232  0.9254  0.7462  1.3232  0.9254 -0.0000
-1.0e+00         36.14  1.3259  0.9238  0.7422  1.3259  0.9238 -0.0000
-1.0e+00         36.33  1.3286  0.9221  0.7382  1.3286  0.9221 -0.0000
-1.0e+00         36.53  1.3313  0.9205  0.7342  1.3313  0.9205 -0.0000
-1.0e+00         36.72  1.3340  0.9188  0.7302  1.3340  0.9188 -0.0000
-1.0e+00         36.91  1.3366  0.9172  0.7261  1.3366  0.9172 -0.0000
-1.0e+00         37.10  1.3393  0.9155  0.7221  1.3393  0.9155 -0.0000
-1.0e+00         37.28  1.3420  0.9139  0.7180  1.3420  0.9139 -0.0000
-1.0e+00         37.47  1.3447  0.9122  0.7139  1.3447  0.9122 -0.0000
-1.0e+00         37.66  1.3474  0.9105  0.7098  1.3474  0.9105 -0.0000
-1.0e+00         37.84  1.3501  0.9089  0.7057  1.3501  0.9089 -0.0000
-1.0e+00         38.03  1.3527  0.9072  0.7016  1.3527  0.9072 -0.0000
-1.0e+00         38.21  1.3554  0.9055  0.6975  1.3554  0.9055 -0.0000
-1.0e+00         38.40  1.3581  0.9038  0.6933  1.3581  0.9038 -0.0000
-1.0e+00         38.58  1.3608  0.9022  0.6892  1.3608  0.9022 -0.0000
-1.0e+00         38.76  1.3635  0.9005  0.6850  1.3635  0.9005 -0.0000
-1.0e+00         38.94  1.3661  0.8988  0.6809  1.3661  0.8988 -0.0000
-1.0e+00         39.12  1.3688  0.8971  0.6767  1.3688  0.8971 -0.0000
-1.0e+00         39.30  1.3715  0.8954  0.6725  1.3715  0.8954 -0.0000
-1.0e+00         39.48  1.3742  0.8937  0.6683  1.3742  0.8937 -0.0000
-1.0e+00         39.66  1.3768  0.8920  0.6641  1.3768  0.8920 -0.0000
-1.0e+00         39.84  1.3795  0.8903  0.6599  1.3795  0.8903 -0.0000
-1.0e+00         40.01  1.3822  0.8885  0.6556  1.3822  0.8885 -0.0000
-1.0e+00         40.19  1.3849  0.8868  0.6514  1.3849  0.8868 -0.0000
